Date,Name,Type
2030-03-20,Holi,National/Observed
2030-04-12,Ram Navami,National/Observed
2030-04-14,Dr. B. R. Ambedkar's Jayanti; Id-ul-Zuha (Bakrid) (estimated),National/Observed
2030-04-16,Mahavir Jayanti,National/Observed
2030-04-19,Good Friday,National/Observed
2030-05-13,Muharram (estimated),National/Observed
2030-05-17,Buddha Purnima,National/Observed
2030-07-14,Milad-un-Nabi (estimated),National/Observed
2030-08-15,Independence Day,National/Observed
2030-08-21,Janmashtami (Vaishnava),National/Observed
2030-10-02,Mahatma Gandhi's Jayanti,National/Observed
2030-10-06,Dussehra,National/Observed
2030-10-26,Diwali (Deepavali),National/Observed
2030-11-10,Guru Nanak's Jayanti,National/Observed
2030-12-25,Christmas,National/Observed
2031-01-25,Id-ul-Fitr (estimated),National/Observed
2031-01-26,Republic Day,National/Observed
2031-02-20,Maha Shivaratri,National/Observed
2031-03-09,Holi,National/Observed
2031-04-01,Ram Navami,National/Observed
2031-04-03,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2031-04-05,Mahavir Jayanti,National/Observed
2031-04-11,Good Friday,National/Observed
2031-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2031-05-03,Muharram (estimated),National/Observed
2031-05-07,Buddha Purnima,National/Observed
2031-07-03,Milad-un-Nabi (estimated),National/Observed
2031-08-10,Janmashtami (Vaishnava),National/Observed
2031-08-15,Independence Day,National/Observed
2031-10-02,Mahatma Gandhi's Jayanti,National/Observed
2031-10-25,Dussehra,National/Observed
2031-11-14,Diwali (Deepavali),National/Observed
2031-11-28,Guru Nanak's Jayanti,National/Observed
2031-12-25,Christmas,National/Observed
2032-01-15,Id-ul-Fitr (estimated),National/Observed
2032-01-26,Republic Day,National/Observed
2032-03-10,Maha Shivaratri,National/Observed
2032-03-23,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2032-03-26,Good Friday,National/Observed
2032-03-27,Holi,National/Observed
2032-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2032-04-19,Ram Navami,National/Observed
2032-04-21,Muharram (estimated),National/Observed
2032-04-23,Mahavir Jayanti,National/Observed
2032-05-25,Buddha Purnima,National/Observed
2032-06-21,Milad-un-Nabi (estimated),National/Observed
2032-08-15,Independence Day,National/Observed
2032-08-28,Janmashtami (Vaishnava),National/Observed
2032-10-02,Mahatma Gandhi's Jayanti,National/Observed
2032-10-14,Dussehra,National/Observed
2032-11-02,Diwali (Deepavali),National/Observed
2032-11-17,Guru Nanak's Jayanti,National/Observed
2032-12-25,Christmas,National/Observed
2033-01-03,Id-ul-Fitr (estimated),National/Observed
2033-01-26,Republic Day,National/Observed
2033-02-27,Maha Shivaratri,National/Observed
2033-03-12,Id-ul-Zuha (Bakrid) (estimated),National/Observed
2033-03-16,Holi,National/Observed
2033-04-07,Ram Navami,National/Observed
2033-04-11,Muharram (estimated),National/Observed
2033-04-12,Mahavir Jayanti,National/Observed
2033-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2033-04-15,Good Friday,National/Observed
2033-05-14,Buddha Purnima,National/Observed
